,M,Y,WHH,P,RS
1980-2,1210502.48,3941077.60,3471907.60,50.47,12.34
1980-3,1238114.77,3931736.62,3608238.00,51.45,11.40
1980-4,1270656.14,3939286.70,3749921.60,52.14,11.73
1981-1,1305465.78,3956234.28,3897168.60,53.14,12.66
1981-2,1343553.57,3966127.88,4042199.80,54.24,14.89
1981-3,1372740.94,3972500.59,4182799.30,55.46,15.48
1981-4,1405222.81,3980884.99,4316751.30,56.84,14.50
1982-1,1443951.27,3995861.92,4442389.70,58.03,13.43
1982-2,1484189.24,3995488.21,4561201.80,59.05,13.37
1982-3,1526991.60,3983391.93,4675224.40,60.10,12.42
1982-4,1563545.41,3983577.79,4786494.70,61.17,11.48
1983-1,1603300.47,4009277.41,4895287.10,62.33,10.67
1983-2,1634370.76,4035127.46,5000300.80,63.21,10.52
1983-3,1670376.00,4054760.05,5098472.40,64.25,10.87
1983-4,1705847.78,4104440.46,5186738.50,65.21,11.02
1984-1,1739552.43,4132441.39,5259386.30,66.22,10.52
1984-2,1773021.19,4111235.98,5318651.10,66.80,10.13
1984-3,1813983.45,4168813.68,5364119.00,67.67,9.76
1984-4,1851652.88,4181212.84,5395375.90,68.33,9.53
1985-1,1896188.85,4190260.96,5425279.70,69.19,9.39
1985-2,1933092.19,4230030.68,5453415.10,69.86,9.41
1985-3,1962296.09,4267710.31,5492639.00,70.73,8.79
1985-4,1991298.17,4294370.54,5555808.10,71.62,8.22
1986-1,2022121.25,4283295.79,5652308.60,72.80,8.24
1986-2,2052289.94,4335277.83,5773526.60,73.54,7.53
1986-3,2086095.03,4368523.33,5907377.40,74.21,7.28
1986-4,2129628.57,4383082.71,6041776.60,74.81,7.46
1987-1,2167618.38,4359814.16,6161777.00,75.09,7.68
1987-2,2215377.42,4438281.21,6275797.50,75.78,7.88
1987-3,2257739.34,4474738.94,6389394.70,76.09,7.98
1987-4,2303621.06,4532468.43,6508124.70,76.83,8.05
1988-1,2339559.26,4560477.02,6649905.30,77.45,7.15
1988-2,2391296.83,4600224.62,6810284.20,78.23,7.01
1988-3,2442008.18,4663771.67,6997170.20,78.74,7.74
1988-4,2495494.45,4711228.55,7218472.30,79.66,8.20
1989-1,2545065.65,4769341.80,7482114.80,80.43,9.23
1989-2,2607594.04,4790942.94,7782685.40,81.05,9.41
1989-3,2676516.64,4833029.24,8114787.20,81.81,9.81
1989-4,2729284.20,4886985.85,8473023.20,82.86,10.81
1990-1,2800323.02,4944425.83,8831083.80,83.85,11.00
1990-2,2842420.32,4971787.92,9193762.10,84.77,10.38
1990-3,2901349.28,5012622.96,9544938.80,85.62,10.35
1990-4,2962927.69,5055894.03,9868494.30,86.24,10.81
1991-1,3022986.97,5143857.89,10150361.50,86.98,10.82
1991-2,3069995.80,5151741.42,10401461.70,88.55,10.24
1991-3,3130896.33,5154640.99,10634768.20,89.45,10.32
1991-4,3193632.82,5201294.15,10863254.80,90.63,10.56
1992-1,3243524.34,5260911.78,11083657.10,91.29,10.70
1992-2,3316951.09,5229820.52,11287953.20,92.22,10.83
1992-3,3383683.37,5222428.86,11451883.20,92.98,11.75
1992-4,3450815.28,5212486.10,11551187.20,93.57,11.27
1993-1,3496861.26,5179005.19,11576068.70,94.51,10.57
1993-2,3566452.38,5181236.22,11542365.30,95.24,8.92
1993-3,3603977.22,5204262.11,11480377.90,95.78,8.06
1993-4,3659647.62,5224908.49,11420407.40,96.31,7.35
1994-1,3714021.23,5270856.29,11404308.40,96.97,6.76
1994-2,3745033.12,5309945.22,11410740.80,97.47,6.27
1994-3,3766841.71,5347583.01,11429918.10,98.03,6.28
1994-4,3782206.72,5394664.61,11452053.90,98.74,6.43
1995-1,3803969.55,5437965.47,11476705.00,99.28,6.89
1995-2,3838460.68,5469376.36,11510075.70,100.01,7.10
1995-3,3891838.03,5485761.32,11567713.50,100.84,6.63
1995-4,3954940.86,5498553.83,11665165.90,101.31,6.44
1996-1,4022160.70,5504924.58,11803588.40,101.85,5.55
1996-2,4058830.76,5543091.20,11973100.70,102.11,5.06
1996-3,4098302.73,5569794.20,12149430.70,102.47,4.94
1996-4,4141398.93,5583202.14,12308305.80,102.73,4.54
1997-1,4174821.91,5610548.09,12419494.00,103.17,4.38
1997-2,4213509.81,5677727.11,12499916.30,103.34,4.27
1997-3,4276661.43,5713902.82,12560533.60,103.81,4.27
1997-4,4327521.22,5767706.92,12612307.10,104.19,4.38
1998-1,4369886.26,5814437.50,12682716.60,104.40,4.15
1998-2,4430224.04,5835705.35,12763392.90,105.13,4.02
1998-3,4487711.96,5862352.00,12862485.70,105.38,3.90
1998-4,4540870.44,5876022.28,12988144.60,105.73,3.60
1999-1,4616994.52,5937019.13,13148592.00,105.73,3.09
1999-2,4672859.78,5972277.17,13338247.90,106.07,2.63
1999-3,4746798.03,6040392.01,13551605.30,106.29,2.70
1999-4,4796955.88,6115055.15,13783156.80,106.50,3.43
2000-1,4873010.41,6188918.42,14025331.70,106.92,3.54
2000-2,4931762.95,6247343.30,14282006.50,107.34,4.26
2000-3,4958861.30,6270593.94,14554994.20,107.89,4.74
2000-4,4991952.65,6313099.79,14846107.80,108.27,5.02
2001-1,5062510.08,6364034.93,15156476.00,109.19,4.75
2001-2,5144253.86,6369100.45,15484894.20,109.99,4.60
2001-3,5251492.47,6371661.09,15829473.80,110.68,4.27
2001-4,5367339.72,6376029.61,16188326.10,111.59,3.44
2002-1,5450931.31,6389973.52,16556888.50,112.37,3.36
2002-2,5526874.11,6417454.30,16936593.90,112.75,3.45
2002-3,5622001.75,6439661.71,17326201.30,113.62,3.36
2002-4,5742361.50,6441433.56,17724469.80,114.35,3.11
2003-1,5870345.94,6450428.79,18126870.10,114.61,2.68
2003-2,6006054.17,6448055.71,18534424.60,115.30,2.36
2003-3,6093817.29,6481208.96,18944867.30,116.20,2.14
2003-4,6176148.27,6512685.54,19355932.30,116.65,2.15
2004-1,6248211.11,6577586.91,19769907.20,116.66,2.06
2004-2,6329464.46,6605893.44,20188102.80,117.45,2.08
2004-3,6430975.46,6625132.29,20616383.40,117.82,2.12
2004-4,6550001.84,6642244.39,21060613.30,118.36,2.16
2005-1,6663936.23,6661381.88,21526302.30,119.02,2.14
2005-2,6776740.72,6696299.91,22009456.60,119.67,2.12
2005-3,6945405.09,6739317.79,22505727.70,120.12,2.13
2005-4,7061307.71,6767058.73,23010767.40,120.96,2.34
2006-1,7181867.11,6822549.75,23512783.80,121.36,2.61
2006-2,7367321.38,6892354.49,24015143.90,121.93,2.89
2006-3,7510190.47,6926870.89,24513771.00,122.59,3.22
2006-4,7698479.25,6987249.69,25004588.80,123.00,3.59
2007-1,7914187.63,7039948.36,25467085.60,123.85,3.82
2007-2,8148321.80,7064820.29,25904915.70,124.59,4.06
2007-3,8372093.24,7117783.41,26305298.10,125.11,4.50
2007-4,8621840.42,7144974.19,26655452.10,125.77,4.72
2008-1,8816655.76,7202728.87,26915884.17,126.41,4.48
2008-2,8978900.14,7174429.54,27075639.25,127.18,4.86
2008-3,9127566.19,7136536.88,27026865.31,127.53,4.98
