DATE;IP;CPI;FEDFUNDS
01.01.1985;56,1398;105,7;8,35
01.02.1985;56,3323;106,3;8,5
01.03.1985;56,4232;106,8;8,58
01.04.1985;56,2693;107;8,27
01.05.1985;56,3488;107,2;7,97
01.06.1985;56,3901;107,5;7,53
01.07.1985;56,0234;107,7;7,88
01.08.1985;56,2555;107,9;7,9
01.09.1985;56,4983;108,1;7,92
01.10.1985;56,2648;108,5;7,99
01.11.1985;56,4549;109;8,05
01.12.1985;57,0458;109,5;8,27
01.01.1986;57,3104;109,9;8,14
01.02.1986;56,9344;109,7;7,86
01.03.1986;56,542;109,1;7,48
01.04.1986;56,5599;108,7;6,99
01.05.1986;56,6823;109;6,85
01.06.1986;56,4976;109,4;6,92
01.07.1986;56,814;109,5;6,56
01.08.1986;56,7381;109,6;6,17
01.09.1986;56,8532;110;5,89
01.10.1986;57,1191;110,2;5,85
01.11.1986;57,3792;110,4;6,04
01.12.1986;57,8623;110,8;6,91
01.01.1987;57,685;111,4;6,43
01.02.1987;58,4399;111,8;6,1
01.03.1987;58,516;112,2;6,13
01.04.1987;58,8851;112,7;6,37
01.05.1987;59,2653;113;6,85
01.06.1987;59,5409;113,5;6,73
01.07.1987;59,9536;113,8;6,58
01.08.1987;60,4517;114,3;6,73
01.09.1987;60,6069;114,7;7,22
01.10.1987;61,491;115;7,29
01.11.1987;61,8137;115,4;6,69
01.12.1987;62,119;115,6;6,77
01.01.1988;62,1469;116;6,83
01.02.1988;62,4169;116,2;6,58
01.03.1988;62,5418;116,5;6,58
01.04.1988;62,8959;117,2;6,87
01.05.1988;62,8223;117,5;7,09
01.06.1988;62,9823;118;7,51
01.07.1988;63,0093;118,5;7,75
01.08.1988;63,2723;119;8,01
01.09.1988;63,099;119,5;8,19
01.10.1988;63,4122;119,9;8,3
01.11.1988;63,5128;120,3;8,35
01.12.1988;63,8233;120,7;8,76
01.01.1989;64,0153;121,2;9,12
01.02.1989;63,7242;121,6;9,36
01.03.1989;63,8691;122,2;9,85
01.04.1989;63,9124;123,1;9,84
01.05.1989;63,4884;123,7;9,81
01.06.1989;63,5187;124,1;9,53
01.07.1989;62,9354;124,5;9,24
01.08.1989;63,5168;124,5;8,99
01.09.1989;63,2954;124,8;9,02
01.10.1989;63,2542;125,4;8,84
01.11.1989;63,4616;125,9;8,55
01.12.1989;63,8467;126,3;8,45
01.01.1990;63,4228;127,5;8,23
01.02.1990;64,0446;128;8,24
01.03.1990;64,358;128,6;8,28
01.04.1990;64,2602;128,9;8,26
01.05.1990;64,3973;129,1;8,18
01.06.1990;64,6041;129,9;8,29
01.07.1990;64,5205;130,5;8,15
01.08.1990;64,7326;131,6;8,13
01.09.1990;64,8145;132,5;8,2
01.10.1990;64,3274;133,4;8,11
01.11.1990;63,5753;133,7;7,81
01.12.1990;63,1594;134,2;7,31
01.01.1991;62,8852;134,7;6,91
01.02.1991;62,4462;134,8;6,25
01.03.1991;62,119;134,8;6,12
01.04.1991;62,2415;135,1;5,91
01.05.1991;62,8646;135,6;5,78
01.06.1991;63,4372;136;5,9
01.07.1991;63,5128;136,2;5,82
01.08.1991;63,5671;136,6;5,66
01.09.1991;64,133;137;5,45
01.10.1991;64,0213;137,2;5,21
01.11.1991;63,948;137,8;4,81
01.12.1991;63,6937;138,2;4,43
01.01.1992;63,3374;138,3;4,03
01.02.1992;63,7911;138,6;4,06
01.03.1992;64,3212;139,1;3,98
